timestamp,spo2,ritmo_cardiaco,ir_value,red_value,finger_detected,acel_total,pasos_totales,max30102_ok,mpu6050_ok
2025-12-06T21:01:13.457139,0.0,0,728,1380,0,9.14,1,1,1
2025-12-06T21:01:13.982010,0.0,0,726,1369,0,9.06,1,1,1
2025-12-06T21:01:14.491348,0.0,0,718,1408,0,9.12,1,1,1
2025-12-06T21:01:15.023711,0.0,0,731,1381,0,9.13,1,1,1
2025-12-06T21:01:15.531706,0.0,0,740,1348,0,9.15,1,1,1
2025-12-06T21:01:16.064845,0.0,0,938,1775,0,9.08,1,1,1
2025-12-06T21:01:16.585118,0.0,0,3632,4775,0,10.12,2,1,1
2025-12-06T21:01:17.107278,0.0,0,10312,15230,0,9.14,3,1,1
2025-12-06T21:01:17.625420,0.0,0,2939,4171,0,9.3,3,1,1
2025-12-06T21:01:18.144113,0.0,0,1889,2945,0,9.09,4,1,1
2025-12-06T21:01:18.672440,0.0,0,1654,2566,0,9.11,4,1,1
2025-12-06T21:01:19.190992,0.0,0,1809,2896,0,9.1,4,1,1
2025-12-06T21:01:19.708613,0.0,0,2448,3618,0,9.03,4,1,1
2025-12-06T21:01:20.227891,0.0,0,3496,6339,0,9.23,4,1,1
2025-12-06T21:01:20.748211,0.0,0,11005,21598,0,9.13,4,1,1
2025-12-06T21:01:21.279190,84.0,0,159057,187563,1,8.57,5,1,1
2025-12-06T21:01:21.798693,85.0,0,172662,192621,1,9.38,6,1,1
2025-12-06T21:01:22.317421,85.3,0,175863,193665,1,9.2,6,1,1
2025-12-06T21:01:22.838513,85.3,0,175732,193600,1,8.97,6,1,1
2025-12-06T21:01:23.361702,85.3,0,175747,193418,1,9.13,6,1,1
2025-12-06T21:01:23.881081,85.3,0,176410,193577,1,9.08,6,1,1
2025-12-06T21:01:24.399973,85.3,0,176020,193276,1,9.55,6,1,1
2025-12-06T21:01:24.919852,85.3,0,175842,193076,1,9.06,6,1,1
2025-12-06T21:01:25.437720,85.4,0,176198,193019,1,9.08,7,1,1
2025-12-06T21:01:25.964679,85.4,0,176083,192802,1,9.14,7,1,1
